"Product ","Category ","Tax Category ","Location ","Strain ","Member Discount ","Requires Weighing ","Medicated ","Requires Inventory ","Default Vendor ","Default Usable ","Cost Per Unit ","Inventory Type ","Quantity On Hand ","Metrc Weighable ","Rec Tax Category ","Medical Label ","Recreational Label "
"!Glass Straw $4","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Grinder $20","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","5","Accessory","19","No","Tax Exempt","Default Label","Default Label"
"!Grinder High Roller $25","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","10.95","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Grinder Mini $10","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","3","Accessory","10","No","Tax Exempt","Default Label","Default Label"
"!Grinder Wood $6","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2.5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Grindr $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.25","Accessory","7","No","Tax Exempt","Default Label","Default Label"
"!Hemp Wick $2","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.56","Accessory","7","No","Tax Exempt","Default Label","Default Label"
"!Hemp Wrap $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.5","Accessory","75","No","Tax Exempt","Default Label","Default Label"
"!Lighter Bic $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.175","Accessory","7","No","Tax Exempt","Default Label","Default Label"
"!Metal Grinder $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","10","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Metal Grinder $30 B","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","7","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Pen Charger$ 4","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2","Accessory","10","No","Tax Exempt","Default Label","Default Label"
"!Puffco Plus $90","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","45","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Quickdraw 500 DLX Vape $250","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","96","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Rangy's Drift Vape $50","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","20","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Raw Classic Papers $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1","Accessory","74","No","Tax Exempt","Default Label","Default Label"
"!Raw Cones 3pk $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.47","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Raw Lighter $2","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.5","Accessory","41","No","Tax Exempt","Default Label","Default Label"
"!Raw Tips $2","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.479","Accessory","170","No","Tax Exempt","Default Label","Default Label"
"!Silicone Bong $28","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","11.95","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Silicone Bong $65","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","24.95","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Silicone Bong $72","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","30.95","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Torch Mini $25","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","9.19","Accessory","16","No","Tax Exempt","Default Label","Default Label"
"!Toro Vaporizer $100","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Buddies Wholesale LLC","","45","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Wood Pipe $40","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","10","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Yocan Evolved XL Vape $65","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","24.85","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"$Glass bong $110","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","44","Accessory","","No","Tax Exempt","Default Label","Default Label"
"1047 cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","16.67","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"24k BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","24K","Yes","Yes","Yes","Yes","BG Family Farms, LLC","","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"24k JNT 0.5g 5pk","Prerolls","Tax Exempt","Apothca - Eugene","24K","Yes","No","Yes","Yes","BG Family Farms, LLC","2.5","3.3","Bud","","No","Tax Standard","Default Label","Default Label"
"24k JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","24K","Yes","No","Yes","Yes","Self Made Farms, LLC.","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"24k PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","24K","Yes","No","Yes","Yes","BG Family Farms, LLC","1","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"24k PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","24K","Yes","No","Yes","Yes","BG Family Farms, LLC","3.5","4.62","Bud","","Yes","Tax Standard","Default Label","Default Label"
"24k PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","24K","Yes","No","Yes","Yes","BG Family Farms, LLC","7","9.24","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Aja Hemp Herb Oil 1oz","Topicals","Tax Exempt","Apothca - Eugene","","Yes","No","Yes","Yes","Sun God","0.082","15","Cannabinoid topicals","","No","Tax Standard","Default Label","Default Label"
"Aja Massage Oil 8oz","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Sun God","0.4144","15","Cannabinoid topicals","","No","Tax Standard","Default Label","Default Label"
"Alien Dreams cart Live Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","14.4","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Alien ET Twax JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Alien ET","Yes","No","Yes","Yes","DYME Distribution","1.38","8","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"All Gas OG BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","All Gas OG","Yes","Yes","Yes","Yes","Odyssey","","1.53","Bud","","Yes","Tax Standard","Default Label","Default Label"
"All Gas PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","All Gas OG","Yes","No","Yes","Yes","Odyssey","1","1.54","Bud","","Yes","Tax Standard","Default Label","Default Label"
"All Gas PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","All Gas OG","Yes","No","Yes","Yes","Odyssey","3.5","5.39","Bud","","Yes","Tax Standard","Default Label","Default Label"
"All Gas PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","All Gas OG","Yes","No","Yes","Yes","Odyssey","7","5.39","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Alpha Bitch Cart CO2 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","8","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Alpine Kush cart Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"American Beauty cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","16.67","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Banana Puddintain BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Banana Puddintain","Yes","Yes","Yes","Yes","Miracle Wholesale","","1.87","Bud","0.00000000000000888178419700125","Yes","Tax Standard","Default Label","Default Label"
"Banana Puddintain PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Banana Puddintain","Yes","No","Yes","Yes","Miracle Wholesale","1","1.87","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Banana Puddintain PP 3.5","Economic Shelf","Tax Exempt","Apothca - Eugene","Banana Puddintain","Yes","No","Yes","Yes","Miracle Wholesale","3.5","6.55","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Banana Puddintain PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Banana Puddintain","Yes","No","Yes","Yes","Miracle Wholesale","7","13.09","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Banner Cart Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Bath Salt Soothing Lavender 165mg","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","0.1653","16.5","Cannabinoid topicals","1","No","Tax Standard","Default Label","Default Label"
"BCD x Dr. Who JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Blueberry Diesel x Triple OG","Yes","No","Yes","Yes","Bishop Orchards","5","10","Bud","","No","Tax Standard","Default Label","Default Label"
"Berry Gelato cart DIST 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","CWD Northwest, Inc.
","1","10","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Berry White JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Berry White","Yes","No","Yes","Yes","Bishop Orchards","5","7.5","Bud","82","No","Tax Standard","Default Label","Default Label"
"Birds Eye LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","10","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Black Cherry Cart CO2 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","10","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Black Cherry Mimosa Shatter 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Self Made Farms, LLC.","1","5","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Black Cherry Punch BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Black Cherry Punch","Yes","Yes","Yes","Yes","Oregrown Eugene","","0.66","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Cherry Punch JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Black Cherry Punch","Yes","No","Yes","Yes","Self Made Farms, LLC.","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"Black Cherry Punch PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Black Cherry Punch","Yes","No","Yes","Yes","Oregrown Eugene","1","0.66","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Cherry Punch PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Black Cherry Punch","Yes","No","Yes","Yes","Oregrown Eugene","3.5","2.31","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Cherry Punch PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Black Cherry Punch","Yes","No","Yes","Yes","Oregrown Eugene","7","4.62","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Dog Bulk","Bulk Flower","Tax Exempt","Apothca - Eugene","Black Dog","Yes","Yes","Yes","Yes","Alchemist Farms LLC","","1.32","Bud","453.59","Yes","Tax Standard","Default Label","Default Label"
"Black Dog JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Black Dog","Yes","No","Yes","Yes","DYME Distribution","0.6","0.85","Bud","","No","Tax Standard","Default Label","Default Label"
"Black Dog JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Black Dog","Yes","No","Yes","Yes","Green Sea Distribution","1","1.98","Bud","","No","Tax Standard","Default Label","Default Label"
"Black Dog PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Black Dog","Yes","No","Yes","Yes","Alchemist Farms LLC","1","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Dog PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Black Dog","Yes","No","Yes","Yes","Alchemist Farms LLC","3.5","4.62","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Dog PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Black Dog","Yes","No","Yes","Yes","Alchemist Farms LLC","7","9.24","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Black Lime Cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","CWD Northwest, Inc.
","1","10","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Black Sugar Rose BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Black Sugar Rose","Yes","Yes","Yes","Yes","Green Sea Distribution","","0.44","Bud","-0.000000000000000999200722162641","Yes","Tax Standard","Default Label","Default Label"
"Black Sugar Rose JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Black Sugar Rose","Yes","No","Yes","Yes","Green Sea Distribution","0.6","0.26","Bud","","No","Tax Standard","Default Label","Default Label"
"Black Sugar Rose PP 28g","Special","Tax Exempt","Apothca - Eugene","Black Sugar Rose","Yes","No","Yes","Yes","Green Sea Distribution","28","12.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Blackjack JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Blackjack","Yes","No","Yes","Yes","Sugar Shack Farms","0.6","1.45","Bud","","No","Tax Standard","Default Label","Default Label"
